Time (s);Latitude (°);Longitude (°);Height (m);Horizontal Accuracy (m)
74;53.47059473;9.721845158;5.467906952;6.000906205
75;53.47058847;9.721857628;5.467906952;6.000906205
76;53.47058221;9.721869082;5.467906952;6.000906205
77;53.47057661;9.721882399;5.467906952;6.000906205
78;53.47056602;9.721902897;5.467906952;8.001208274
79;53.47055929;9.721919892;5.507739258;8.001208274
80;53.47055422;9.721936355;5.557614441;8.001208274
81;53.47054662;9.721958231;5.605318176;8.001208274
82;53.4705381;9.721980358;5.663138782;8.001208274
83;53.47052692;9.721993454;5.717751638;8.001208274
84;53.47051772;9.722012743;5.742541994;8.001208274
85;53.47050582;9.72202888;5.777791187;8.001208274
86;53.47049118;9.722053726;5.798684804;8.001208274
87;53.47048517;9.722071964;5.825836727;8.001208274
88;53.47047419;9.722098338;5.851660974;8.001208274
89;53.47046353;9.722124606;5.877534414;8.001208274
90;53.47045224;9.722149778;5.897390893;8.001208274
91;53.47044133;9.722177256;5.906490188;8.001208274
92;53.47042833;9.72220602;5.897673784;8.001208274
93;53.47041682;9.72223801;5.854669875;8.001208274
94;53.47040813;9.722266234;5.813077766;8.001208274
95;53.4703982;9.722292295;5.780769523;8.001208274
96;53.47038617;9.722322219;5.74535219;8.001208274
97;53.47037932;9.7223367;5.702839891;8.001208274
98;53.47037242;9.722349801;5.676410011;8.001208274
99;53.47036121;9.722369681;5.651385813;8.001208274
100;53.47035383;9.722396056;5.612570146;8.001208274
101;53.47033956;9.722422883;5.584765849;8.001208274
102;53.47033872;9.722456147;5.535760444;6.000906205
103;53.47034636;9.722492047;5.563805155;6.000906205
104;53.47034197;9.722514254;5.69652639;6.000906205
105;53.47033442;9.722532682;5.764860616;6.000906205
106;53.47032807;9.72255611;5.810465478;6.000906205
107;53.4703208;9.722587802;5.87528254;6.000906205
108;53.47031367;9.722608076;5.973122431;6.000906205
109;53.47030256;9.72262432;6.048594363;6.000906205
110;53.47028606;9.722636657;6.108772934;6.000906205
111;53.47027466;9.72265831;6.154760426;6.000906205
112;53.47026631;9.722680431;6.229513747;6.000906205
113;53.47025608;9.722709053;6.308664571;6.000906205
114;53.47024955;9.722740014;6.409314562;6.000906205
115;53.470249;9.722757531;6.419482558;6.000906205
116;53.47024421;9.722772818;6.378819975;6.000906205
117;53.47024189;9.722798968;6.341104654;6.000906205
118;53.47024439;9.722818418;6.278477302;6.000906205
119;53.47023384;9.722837506;6.224623167;6.000906205
120;53.47023126;9.722868262;6.188905188;6.000906205
121;53.47022572;9.72289394;6.121787781;6.000906205
122;53.47022394;9.722923008;6.070224356;6.000906205
123;53.47021369;9.722945644;6.007770879;6.000906205
124;53.47020822;9.722982673;5.980836902;6.000906205
125;53.47019953;9.723005446;5.921670345;6.000906205
126;53.47018587;9.723031167;5.903012982;6.000906205
127;53.47017905;9.723063576;5.903639769;6.000906205
128;53.47016825;9.723083598;5.869198511;6.000906205
129;53.47015547;9.723102942;5.856762762;6.000906205
130;53.47013369;9.723116106;5.846843421;6.000906205
131;53.47011347;9.723130021;5.861325043;6.000906205
132;53.47009457;9.723125145;5.867016675;6.000906205
133;53.47008172;9.723139666;5.913117302;6.000906205
134;53.47007326;9.723145871;5.899853982;6.000906205
135;53.47006577;9.723161322;5.894150285;6.000906205
136;53.47005644;9.723188638;5.858873418;6.000906205
137;53.47005237;9.723219563;5.78334065;6.000906205
138;53.47004715;9.723244782;5.682685109;6.000906205
139;53.47004529;9.723269938;5.595248339;6.000906205
140;53.47004018;9.723289738;5.505961144;6.000906205
141;53.47003224;9.723309541;5.471712371;6.000906205
142;53.4699986;9.723324812;5.468287494;6.000906205
143;53.46999013;9.723346894;5.467945006;6.000906205
144;53.46996716;9.7233761;5.467910757;6.000906205
145;53.46995019;9.723403712;5.467907332;6.000906205
146;53.46994114;9.723415852;5.46790699;6.000906205
147;53.46993551;9.723422076;5.467906956;6.000906205
148;53.46992481;9.723421009;5.467906952;6.000906205
149;53.46992203;9.723424505;5.467906952;6.000906205
150;53.46991793;9.723423686;5.467906952;6.000906205
151;53.46991179;9.723422907;5.467906952;6.000906205
152;53.46990749;9.723418568;5.467906952;6.000906205
153;53.46990156;9.723427062;5.467906952;6.000906205
154;53.46989057;9.723430501;5.467906952;6.000906205
155;53.46988335;9.723459275;5.467906952;6.000906205
156;53.46987909;9.723484013;5.467906952;6.000906205
157;53.46987703;9.723504849;5.467906952;6.000906205
158;53.46986621;9.723540799;5.467906952;6.000906205
159;53.46986397;9.723561258;5.467906952;6.000906205
160;53.46986023;9.723574731;5.467906952;6.000906205
161;53.4698559;9.723596416;5.467906952;6.000906205
162;53.46985048;9.723617055;5.467906952;6.000906205
163;53.46984616;9.723636686;5.467906952;6.000906205
164;53.46983631;9.723657099;5.467906952;6.000906205
165;53.46982813;9.723682619;5.467906952;6.000906205
166;53.46982361;9.723707136;5.467906952;8.001208274
167;53.46981475;9.723726579;5.467906952;8.001208274
168;53.46981672;9.723750106;5.467906952;8.001208274
169;53.46981163;9.72376562;5.467906952;8.001208274
170;53.46980662;9.723780911;5.467906952;8.001208274
171;53.4697926;9.723796577;5.467906952;8.001208274
172;53.46978696;9.723799442;5.467906952;8.001208274
173;53.46978314;9.72380856;5.467906952;8.001208274
174;53.46977556;9.723814625;5.467906952;8.001208274
175;53.46976694;9.723831004;5.467906952;8.001208274
176;53.4697629;9.723851615;5.467906952;8.001208274
177;53.46975645;9.723871677;5.467906952;8.001208274
178;53.46975414;9.723897148;5.467906952;8.001208274
179;53.4697417;9.723906357;5.467906952;8.001208274
180;53.46973503;9.723928113;5.467906952;8.001208274
181;53.46971796;9.723947684;5.467906952;8.001208274
182;53.4697135;9.723965186;5.467906952;8.001208274
183;53.46970273;9.723999879;5.467906952;8.001208274
184;53.46969603;9.724013213;5.467906952;8.001208274
