48; 0.74; 0.24; -9.66; -0.37; 1.43; -0.47
73; 0.7; 0.19; -9.65; -0.63; 1.2; -0.5
99; 0.72; 0.23; -9.69; -0.56; 1.27; -0.42
131; 0.72; 0.23; -9.71; -0.43; 1.16; -0.44
156; 0.68; 0.23; -9.7; -0.55; 1.56; -0.47
182; 0.75; 0.21; -9.7; -0.53; 1.4; -0.37
207; 0.74; 0.22; -9.69; -0.66; 1.43; -0.51
233; 0.71; 0.21; -9.7; -0.64; 1.4; -0.24
259; 0.74; 0.23; -9.68; -0.5; 1.43; -0.4
285; 0.75; 0.25; -9.67; -0.63; 1.34; -0.63
311; 0.76; 0.24; -9.67; -0.45; 1.37; -0.43
336; 0.74; 0.24; -9.71; -0.53; 1.4; -0.49
362; 0.71; 0.24; -9.71; -0.59; 1.27; -0.43
388; 0.73; 0.18; -9.74; -0.5; 1.27; -0.54
413; 0.7; 0.25; -9.68; -0.76; 1.5; -0.5
439; 0.7; 0.22; -9.69; -0.66; 1.34; -0.47
471; 0.73; 0.19; -9.65; -0.69; 1.34; -0.43
496; 0.7; 0.21; -9.71; -0.65; 1.5; -0.43
522; 0.75; 0.22; -9.71; -0.42; 1.45; -0.57
547; 0.69; 0.19; -9.72; -0.56; 1.44; -0.57
573; 0.7; 0.21; -9.71; -0.66; 1.37; -0.43
599; 0.72; 0.21; -9.69; -0.63; 1.38; -0.44
624; 0.74; 0.18; -9.69; -0.54; 1.29; -0.49
650; 0.73; 0.19; -9.73; -0.51; 1.36; -0.48
675; 0.72; 0.18; -9.72; -0.56; 1.41; -0.52
702; 0.76; 0.26; -9.7; -0.64; 1.43; -0.54
728; 0.76; 0.22; -9.69; -0.51; 1.15; -0.56
753; 0.69; 0.19; -9.66; -0.51; 1.27; -0.58
779; 0.73; 0.23; -9.72; -0.64; 1.41; -0.5
811; 0.7; 0.22; -9.66; -0.61; 1.1; -0.47
836; 0.72; 0.25; -9.71; -0.41; 1.4; -0.51
862; 0.71; 0.22; -9.71; -0.54; 1.39; -0.5
887; 0.71; 0.18; -9.69; -0.47; 1.4; -0.55
914; 0.72; 0.21; -9.69; -0.57; 1.47; -0.49
940; 0.75; 0.23; -9.72; -0.63; 1.51; -0.43
965; 0.71; 0.21; -9.74; -0.67; 1.3; -0.56
991; 0.73; 0.23; -9.73; -0.56; 1.31; -0.53
1017; 0.71; 0.19; -9.71; -0.47; 1.31; -0.51
1043; 0.72; 0.27; -9.72; -0.5; 1.31; -0.51
1069; 0.75; 0.23; -9.69; -0.36; 1.35; -0.6
1095; 0.73; 0.2; -9.66; -0.63; 1.5; -0.33
1121; 0.71; 0.17; -9.69; -0.53; 1.37; -0.49
1153; 0.71; 0.21; -9.71; -0.4; 1.5; -0.5
1178; 0.72; 0.2; -9.66; -0.69; 1.37; -0.6
1204; 0.74; 0.22; -9.68; -0.63; 1.33; -0.42
1230; 0.74; 0.19; -9.69; -0.56; 1.34; -0.45
1256; 0.77; 0.19; -9.7; -0.49; 1.44; -0.36
1297; 0.73; 0.22; -9.72; -0.34; 1.31; -0.62
