49; 0.73; 0.21; -9.68; -0.45; 1.18; -0.54
80; 0.69; 0.21; -9.69; -0.54; 1.39; -0.53
106; 0.72; 0.22; -9.69; -0.68; 1.17; -0.57
133; 0.75; 0.23; -9.69; -0.53; 1.34; -0.56
158; 0.71; 0.22; -9.71; -0.43; 1.35; -0.62
185; 0.74; 0.2; -9.69; -0.84; 1.37; -0.43
210; 0.7; 0.21; -9.7; -0.59; 1.24; -0.35
236; 0.72; 0.21; -9.69; -0.43; 1.33; -0.47
263; 0.73; 0.2; -9.65; -0.65; 1.42; -0.5
288; 0.69; 0.21; -9.66; -0.42; 1.3; -0.42
315; 0.74; 0.23; -9.65; -0.61; 1.48; -0.5
340; 0.74; 0.25; -9.69; -0.63; 1.35; -0.43
367; 0.77; 0.22; -9.7; -0.58; 1.22; -0.48
393; 0.75; 0.22; -9.68; -0.52; 1.43; -0.5
425; 0.72; 0.22; -9.69; -0.58; 1.37; -0.45
451; 0.76; 0.23; -9.69; -0.57; 1.43; -0.5
477; 0.72; 0.17; -9.68; -0.48; 1.53; -0.47
503; 0.73; 0.19; -9.72; -0.63; 1.43; -0.49
529; 0.75; 0.23; -9.68; -0.65; 1.28; -0.53
555; 0.74; 0.21; -9.69; -0.48; 1.29; -0.63
581; 0.74; 0.19; -9.67; -0.66; 1.3; -0.63
607; 0.7; 0.2; -9.69; -0.63; 1.4; -0.54
632; 0.7; 0.24; -9.71; -0.58; 1.37; -0.31
659; 0.72; 0.25; -9.71; -0.67; 1.3; -0.47
685; 0.7; 0.23; -9.67; -0.75; 1.36; -0.49
710; 0.72; 0.21; -9.72; -0.6; 1.5; -0.4
736; 0.75; 0.18; -9.69; -0.52; 1.35; -0.5
769; 0.71; 0.21; -9.68; -0.56; 1.59; -0.53
794; 0.76; 0.2; -9.71; -0.69; 1.22; -0.53
820; 0.74; 0.2; -9.69; -0.48; 1.17; -0.49
846; 0.74; 0.19; -9.7; -0.6; 1.43; -0.43
872; 0.74; 0.21; -9.67; -0.56; 1.43; -0.4
898; 0.71; 0.23; -9.72; -0.4; 1.37; -0.58
923; 0.72; 0.21; -9.68; -0.69; 1.5; -0.56
950; 0.68; 0.29; -9.69; -0.54; 1.39; -0.45
986; 0.75; 0.18; -9.65; -0.59; 1.49; -0.6
1011; 0.72; 0.23; -9.68; -0.5; 1.24; -0.33
1038; 0.71; 0.21; -9.69; -0.66; 1.37; -0.43
1064; 0.73; 0.21; -9.68; -0.52; 1.34; -0.39
1090; 0.72; 0.23; -9.66; -0.4; 1.44; -0.47
1122; 0.73; 0.22; -9.75; -0.58; 1.36; -0.65
1148; 0.75; 0.2; -9.71; -0.62; 1.3; -0.45
1174; 0.74; 0.18; -9.69; -0.55; 1.35; -0.47
1201; 0.7; 0.21; -9.68; -0.53; 1.31; -0.43
1226; 0.77; 0.2; -9.67; -0.77; 1.46; -0.4
1252; 0.75; 0.19; -9.7; -0.53; 1.5; -0.44
1278; 0.77; 0.22; -9.72; -0.47; 1.42; -0.53
1304; 0.73; 0.23; -9.69; -0.58; 1.5; -0.43
1330; 0.77; 0.19; -9.7; -0.69; 1.39; -0.27
1356; 0.75; 0.2; -9.74; -0.75; 1.29; -0.56
1382; 0.71; 0.24; -9.72; -0.56; 1.44; -0.44
1409; 0.73; 0.19; -9.67; -0.56; 1.31; -0.49
1434; 0.75; 0.17; -9.68; -0.66; 1.37; -0.41
1466; 0.74; 0.25; -9.68; -0.63; 1.33; -0.66
1492; 0.72; 0.2; -9.67; -0.53; 1.37; -0.44
1518; 0.73; 0.2; -9.71; -0.57; 1.3; -0.33
1545; 0.71; 0.19; -9.7; -0.6; 1.38; -0.52
1570; 0.76; 0.22; -9.71; -0.6; 1.39; -0.41
1597; 0.74; 0.19; -9.72; -0.53; 1.4; -0.4
1623; 0.74; 0.23; -9.69; -0.61; 1.63; -0.5
1649; 0.69; 0.21; -9.71; -0.62; 1.41; -0.56
1676; 0.76; 0.21; -9.72; -0.56; 1.33; -0.42
1701; 0.72; 0.22; -9.7; -0.59; 1.21; -0.5
1728; 0.7; 0.22; -9.71; -0.64; 1.31; -0.55
1754; 0.76; 0.23; -9.7; -0.6; 1.37; -0.59
1780; 0.72; 0.18; -9.68; -0.58; 1.22; -0.58
1812; 0.69; 0.2; -9.69; -0.57; 1.37; -0.43
1839; 0.72; 0.23; -9.71; -0.54; 1.34; -0.36
1864; 0.69; 0.21; -9.71; -0.53; 1.39; -0.46
1890; 0.74; 0.23; -9.69; -0.64; 1.18; -0.37
1916; 0.74; 0.23; -9.71; -0.62; 1.34; -0.4
1942; 0.73; 0.23; -9.7; -0.58; 1.34; -0.4
1968; 0.73; 0.2; -9.7; -0.56; 1.22; -0.55
1994; 0.69; 0.22; -9.68; -0.55; 1.42; -0.49
2020; 0.7; 0.18; -9.7; -0.56; 1.25; -0.56
2046; 0.72; 0.21; -9.69; -0.53; 1.41; -0.38
2072; 0.77; 0.24; -9.68; -0.52; 1.42; -0.47
2098; 0.7; 0.22; -9.69; -0.49; 1.43; -0.56
2124; 0.74; 0.22; -9.75; -0.64; 1.37; -0.38
2156; 0.68; 0.2; -9.67; -0.67; 1.53; -0.57
2182; 0.72; 0.18; -9.7; -0.66; 1.62; -0.44
2208; 0.72; 0.23; -9.68; -0.67; 1.43; -0.4
2234; 0.74; 0.19; -9.72; -0.64; 1.39; -0.4
2260; 0.73; 0.21; -9.68; -0.58; 1.34; -0.44
2286; 0.73; 0.2; -9.69; -0.5; 1.37; -0.51
2312; 0.72; 0.23; -9.68; -0.68; 1.23; -0.46
2338; 0.72; 0.18; -9.67; -0.54; 1.34; -0.45
2364; 0.73; 0.18; -9.71; -0.69; 1.34; -0.43
2391; 0.74; 0.24; -9.67; -0.45; 1.53; -0.5
2416; 0.73; 0.23; -9.7; -0.66; 1.56; -0.43
2442; 0.72; 0.2; -9.69; -0.5; 1.37; -0.38
2468; 0.74; 0.21; -9.71; -0.54; 1.5; -0.5
2492; 0.71; 0.19; -9.72; -0.74; 1.56; -0.48
2519; 0.73; 0.19; -9.69; -0.53; 1.18; -0.53
2544; 0.72; 0.21; -9.73; -0.49; 1.32; -0.56
2570; 0.7; 0.22; -9.68; -0.65; 1.58; -0.41
2596; 0.73; 0.25; -9.7; -0.5; 1.46; -0.48
2622; 0.73; 0.22; -9.73; -0.37; 1.45; -0.43
2648; 0.72; 0.2; -9.72; -0.43; 1.43; -0.62
2674; 0.77; 0.21; -9.67; -0.48; 1.21; -0.42
2700; 0.73; 0.24; -9.72; -0.4; 1.4; -0.47
2725; 0.75; 0.22; -9.68; -0.45; 1.49; -0.42
2752; 0.73; 0.22; -9.71; -0.52; 1.46; -0.42
2778; 0.72; 0.24; -9.7; -0.67; 1.21; -0.39
2826; 0.74; 0.23; -9.71; -0.64; 1.38; -0.55
2851; 0.72; 0.22; -9.7; -0.66; 1.32; -0.41
2878; 0.71; 0.23; -9.71; -0.4; 1.43; -0.5
2905; 0.7; 0.27; -9.7; -0.53; 1.27; -0.49
2930; 0.78; 0.22; -9.71; -0.56; 1.33; -0.43
2957; 0.7; 0.19; -9.7; -0.54; 1.32; -0.49
2982; 0.7; 0.22; -9.7; -0.63; 1.3; -0.51
3009; 0.73; 0.22; -9.7; -0.41; 1.47; -0.5
3035; 0.71; 0.24; -9.72; -0.54; 1.28; -0.43
3061; 0.74; 0.19; -9.69; -0.47; 1.43; -0.51
3087; 0.73; 0.12; -9.68; -0.6; 1.4; -0.47
3113; 0.74; 0.21; -9.69; -0.61; 1.43; -0.53
3139; 0.72; 0.21; -9.71; -0.42; 1.47; -0.43
3172; 0.73; 0.19; -9.72; -0.58; 1.51; -0.49
3197; 0.72; 0.21; -9.7; -0.66; 1.33; -0.47
3223; 0.73; 0.22; -9.68; -0.66; 1.36; -0.47
3250; 0.73; 0.2; -9.68; -0.63; 1.3; -0.48
3275; 0.73; 0.22; -9.69; -0.69; 1.35; -0.37
3301; 0.72; 0.24; -9.71; -0.52; 1.31; -0.53
3328; 0.72; 0.21; -9.65; -0.67; 1.31; -0.42
3353; 0.71; 0.2; -9.7; -0.69; 1.46; -0.49
3379; 0.76; 0.2; -9.67; -0.63; 1.3; -0.47
3405; 0.74; 0.21; -9.7; -0.53; 1.53; -0.44
3431; 0.7; 0.26; -9.69; -0.49; 1.24; -0.56
3457; 0.71; 0.21; -9.71; -0.61; 1.4; -0.4
3483; 0.75; 0.19; -9.7; -0.47; 1.43; -0.42
3515; 0.74; 0.18; -9.71; -0.46; 1.38; -0.45
3540; 0.75; 0.24; -9.68; -0.47; 1.37; -0.69
